,company_name,company_ticker
1639,Blend Labs Inc,BLND
1640,"Blount International, Inc.",BLT
1641,Blue Capital Reinsurance Holdings Ltd,BCRH
1642,BlueLinx Holdings Inc New,BXC
1643,Bluegreen Vacations Corporation,BXG
1644,Bluescape Opportunities Acquisition Corp,BOAC
1645,Boise Cascade LLC,BCC
1646,Boot Barn Holdings Inc,BOOT
1647,Boqii Holding Limited,BQ
1648,Borr Drilling Limited,BORR
1649,Boston Properties Inc,BXP
1650,Boulder Growth and Income Fund Inc,BIF
1651,Boyd Gaming Corp,BYD
1652,Braemar Hotels and Resorts Inc,BHR
1653,BrandywineGlobal Global Income Opportunities Fund Inc,BWG
1654,Briggs and Stratton Corp,BGG
1655,Bright Health Group Inc,BHG
1656,BrightSphere Investment Group Inc,BSIG
1657,BrightSpire Capital Inc,BRSP
1658,Brinker International Inc,EAT
1659,Bristol Myers Squibb Co,BMY
1660,British American Tobacco PLC,BTI
1661,Broadmark Realty Capital Inc,BRMK
1662,Broadstone Acquisition Corp,BSN
1663,Brookdale Senior Living Inc,BKD
1664,Brookfield Asset Management Reinsurance Partners Ltd,BAMR
1665,Brookfield Business Partners LP,BBU
1666,Brookfield Finance I UK PLC,BAMI
1667,Brookfield Global Listed Infrastructure Income Fund Inc,INF
1668,Brookfield Infrastructure Corporation,BIPC
1669,Brookfield Infrastructure Partners LP,BIP
1670,Brookfield Real Assets Income Fund Inc,RA
1671,Brookfield Renewable Partners LP,BEP
1672,Brown-Forman Corporation (Class A),BFA
1673,Brunswick Corp,BC
1674,Buckle Inc,BKE
1675,Build Acquisition Corp,BGSX
1676,Bunge Ltd,BG
1677,Burlington Stores Inc,BURL
1678,Byline Bancorp Inc,BY
1679,C and F Financial Corporation,CFFI
1680,C.H. Robinson Worldwide  (MM),CHRWD
1681,C4 Therapeutics Inc,CCCC
1682,CA Inc. (delisted),CA
1683,CARDIODX INC,CDX
1684,CB Financial Services Inc,CBFV
1685,CBM Bancorp Inc,CBMB
1686,CBTX Inc,CBTX
1687,CDW Corporation,CDW
1688,CECO Environmental Corporation,CECE
1689,CEVA Inc,CEVA
1690,CF Acquisition Corporation V,CFV
1691,CF Acquisition Corporation VIII,CFFE
1692,CF Finance Acquisition Corporation,CFFAW
1693,CF Finance Acquisition Corporation II,CFII
1694,CH Robinson Worldwide Inc,CHRW
1695,CHP Merger Corporation,CHPM
1696,CIBUS CORP,CBUS
1697,CIM Commercial Trust Corporation,CMCT
1698,CLPS Incorporation,CLPS
1699,CM Financial Inc,CMFNL
1700,CM Life Sciences III Inc,CMLT
1701,CM Seven Star Acquisition Corp.,CMSS
1702,CMC Materials Inc,CCMP
1703,CN Energy Group Inc,CNEY
1704,CNS Pharmaceuticals Inc,CNSP
1705,CONX Corporation,CONXU
1706,COVA Acquisition Corporation,COVA
1707,CPS Technologies Corp,CPSH
1708,CRISPR Therapeutics AG,CRSP
1709,CSP Inc,CSPI
1710,CSX Corporation,CSX
1711,CTI BioPharma Corporation,CTIC
1712,CUI Global Inc,CUI
1713,CVB Financial Corporation,CVBF
1714,CVRx Inc,CVRX
1715,CYNGN Inc,CYN
1716,Cabg Medical  (MM),CABG
1717,"Cachet Financial Solutions, Inc. (MM)",CAFN
1718,Cadiz Inc,CDZI
1719,Caesars Acquisition Company,CACQ
1720,Caesarstone Ltd,CSTE
1721,Cal Dive International  (MM),CDIS
1722,CalAmp Corp,CAMP
1723,"Calamos Asset Management, Inc.",CLMS
1724,Calamos Global Dynamic Income Fund,CHW
1725,Calamos Long Short Equity and Dynamic Income Trust,CPZ
1726,Calavo Growers Inc,CVGW
1727,California BanCorp,CALB
1728,California Micro Devices Corp. (MM),CAMD
1729,Caliper Life Sciences (MM),CALP
1730,Calithera Biosciences Inc,CALA
1731,Callodine Acquisition Corp,CALQU
1732,Cam Commerce Solutions (MM),CADA
1733,Cambium Networks Corporation,CMBM
1734,Camden National Corporation,CAC
1735,Canadian Solar Inc,CSIQ
1736,Cancervax  (MM),CNVX
1737,Candela  (MM),CLZR
1738,Canoo Inc,GOEV
1739,Cantaloupe Inc,CTLP
1740,CapStar Financial Holdings Inc,CSTR
1741,Capella Education Company (MM),CPLA
1742,Capital Bank Corp. (MM),CBKN
1743,Capital City Bank Group Inc,CCBG
1744,Capital Southwest Corporation,CSWC
1745,Capitala Finance Corporation,CPTA
1746,Capitol Acquisition Corp. Iii (MM),CLAC
1747,Capitol Federal Financial (MM),CFFND
1748,Capricor Therapeutics Inc,CAPR
1749,Capstone Therapeutics Corp (MM),CAPS
1750,Captiva Software (MM),CPTV
1751,CarLotz Inc,LOTZ
1752,Cara Therapeutics Inc,CARA
1753,Carbon Black Inc,CBLK
1754,CardConnect Corp.,FNTCU
1755,Cardiac Science (MM),DFIB
1756,Cardiff Oncology Inc,CRDF
1757,Cardinal State Bank (MM),CSNC
1758,Cardiodynamics International (MM),CDIC
1759,Cardiovascular Systems Inc,CSII
1760,Cardtronics PLC,CATM
1761,CareDx Inc,CDNA
1762,CareTrust REIT Inc,CTRE
1763,Caribiner Intl (MM),CWC
1764,"Caribou Coffee Company, Inc. (MM)",CBOU
1765,"Carmike Cinemas, Inc.",CKEC
1766,Carolina Bank Holdings Inc.,CLBH
1767,Carolina National Corp (MM),CNCP
1768,Carreker Corp (MM),CANI
1769,Carrizo Oil and Gas Inc,CRZO
1770,Carter Bankshares Inc,CARE
1771,Carver Bancorp Inc New,CARV
1772,"Cas Medical Systems, Inc.",CASM
1773,Cascade Bancorp,CACB
1774,Cascade Financial Corp. (MM),CASB
1775,"Cascadian Therapeutics, Inc. (delisted)",CASC
1776,Caseys General Stores (MM),CASYV
1777,Cash Systems (MM),CKN
1778,Cass Information Systems Inc,CASS
1779,Castle Biosciences Inc,CSTL
1780,Castor Maritime Inc,CTRM
1781,Catalyst Bancorp Inc,CLST
1782,"Catalyst Health Solutions, (MM)",CHSI
1783,Catalyst Partners Acquisition Corporation,CPAR
1784,Catalytica Energy Sys  (MM),CESI
1785,Catapult Communications (MM),CATT
1786,Cathay General Bancorp,CATY
1787,Cavalry Bancorp  (MM),CAVB
1788,"Cavium, Inc. (delisted)",CAVM
1789,Cazador Acquisition Corp. Ltd. - Units: Consisting of 1 Ordinary Share And 1 Warrant (MM),CAZAU
1790,"Cbak Energy Technology, Inc. (delisted)",CBAK
1791,Cbiz (MM),CBIZ
1792,Ccbt Financial Companies Inc. (MM),CCBT
1793,Ccs Medical Holdings Inc. (MM),CCSM
1794,Cdc Corp. (MM),CHIND
1795,Cdw Corp (MM),CDWC
1796,Cedara Software Corp (MM),CDSW
1797,Celcuity Inc,CELC
1798,Celera Corp. (MM),CRA
1799,Cell Genesys (MM),CEGE
1800,Celldex Therapeutics Inc,CLDX
1801,Cellectar Biosciences Inc,CLRB
1802,Cellular Biomedicine Group Inc,CBMG
1803,Celsion Corp,CLSN
1804,Celsius Holdings Inc,CELH
1805,Cempra,CEMP
1806,Centennial Bank Holdings  (MM),CBHI
1807,Centennial Resource Development - Warrants (MM),CDEVW
1808,"Centennial Resource Development, Inc.",SRAQU
1809,CenterState Bank Corporation,CSFL
1810,Centogene NV,CNTG
1811,"Central Bancorp, (MM)",CEBK
1812,Central European Distribution Corp. (MM),CEDC
1813,Central Federal  (MM),GCFC
1814,Central Garden and Pet Co,CENT
1815,Central Jersey Bancorp (MM),CJBK
1816,Centre Lane Investment Corp (MM),CNLI
1817,Centric Brands Inc,CTRC
1818,Centrue Financial  (MM),TRUED
1819,Century Aluminum Co,CENX
1820,Century Casinos Inc,CNTY
1821,Cephalon (MM),CEPH
1822,"Ceradyne, Inc. (MM)",CRDN
1823,Cerecor Inc,CERC
1824,Cerecor Inc. - Class B Warrants,CERCZ
1825,Cerence Inc,CRNC
1826,Cerevel Therapeutics Holdings Inc,CERE
1827,Certara Inc,CERT
1828,Cesca Therapeutics Inc,KOOL
1829,Cfc,CFCI
1830,ChaSerg Technology Acquisition Corporation,CTACW
1831,ChampionX Corporation,CHX
1832,Champs Entertainment (MM),CMPP
1833,Change Healthcare Inc,CHNGV
1834,Chanticleer Holdings - Warrants,HOTRW
1835,Chardan 2008 China Acquisition - Units (MM),CACAU
1836,Chardan NexTech Acquisition 2 Corporation,CNTQ
1837,Chart Industries Inc,GTLS
1838,Charter Financial Corp. (delisted),CHFN
1839,Chartered Semiconductor Manufacturing Ltd. (MM),CHRTD
1840,"Chattem, Inc. (MM)",CHTT
1841,Check Cap Ltd,CHEK
1842,Check Point Software Technologies Inc,CHKP
1843,Checkmate Pharmaceuticals Inc,CMPI
1844,Cheesecake Factory Inc,CAKE
1845,"Chelsea Therapeutics International, Ltd. (MM)",CHTP
1846,Chemgenex Pharmaceuticals Ltd (MM),CXSP
1847,ChemoCentryx Inc,CCXI
1848,Cherokee Inc. (MM),CHKE
1849,Chesapeake Energy Corporation,CHK
1850,Chesterfield Financial (MM),CFSL
1851,Cheviot Financial Corp (MM),CHEVD
1852,Chicken Soup for the Soul Entertainment Inc,CSSEN
1853,Childrens Place Inc,PLCE
1854,China Advanced Constr Matls Group (MM),CADC
1855,"China Architectural Engineering, (MM)",CAEID
1856,China Auto Logistics Inc. (delisted),CALI
1857,China Automotive Systems Inc,CAAS
1858,China Cablecom Holdings Ltd (MM),CABLU
1859,"China Cablecom Holdings, Ltd. (MM)",CABL
1860,"China Cablecom Holdings, Ltd. - Warrants 4/10/2010 (MM)",CABLW
1861,"China Ceramics Co., Ltd. - Units (MM)",CCCLU
1862,"China Cgame, (MM)",CCGM
1863,China Direct  (MM),CDS
1864,China Energy Savings Technology  (MM),CESV
1865,China Gerui Advanced Materials Grp. Limited - Units 1 SH & E Wts (Virgin Islands British) (MM),CHOPU
1866,"China Grentech Corp. Limited ADS, Each Representing 25 Ordinary Shares (MM)",GRRF
1867,China HGS Real Estate Inc,HGSH
1868,China Internet Nationwide Financial Services Inc,CIFS
1869,China Jo-JO Drugstores (MM),CJJDD
1870,China Liberal Education Holdings Ltd,CLEU
1871,China Natural Resources Inc,CHNR
1872,"China Real Estate Information Corp. ADS, Each Representing One Ordinary Share (MM)",CRIC
1873,China Resources Development Inc. - Units (MM),CRDIU
1874,China Shandong Ind (MM),CPGY
1875,"China Sunergy Co., Ltd. ADS, Each Representing 18 Ordinary Shares (MM)",CSUND
1876,China Transinfo Technology Corp. (MM),CTFO
1877,"China Valves Technology, Inc. (MM)",CVVT
1878,China XD Plastics Company Ltd,CXDC
1879,China Yida Holding (MM),CNDH
1880,"China-Biotics, Inc. (MM)",CHBT
1881,Chinacast Education Corp Wrt (MM),CASTW
1882,Chinook Therapeutics Inc,KDNY
1883,Chiron  (MM),CHIR
1884,Chordiant Software  (MM),CHRDD
1885,ChromaDex Corporation,CDXC
1886,Chuy s Holdings Inc,CHUY
1887,Ciena  (MM),CIEND
1888,Cifc Llc,CIFC
1889,Cimpress PLC,CMPR
1890,Cincinnati Financial Corporation,CINF
1891,Cintas Corporation,CTAS
1892,Ciphergen Biosystems  (MM),CIPH
1893,Cirrus Logic Inc,CRUS
1894,Citi Trends Inc,CTRN
1895,Citigroup Inc. (MM),PLJC
1896,Citizens Banking,CBCF
1897,Citizens Community Bancorp  (MM),CZWID
1898,Citizens First Corp. (MM),CZFC
1899,Citizens Holding Company,CIZN
1900,"Citizens Republic Bancorp, Inc. (MM)",CRBCD
1901,Citizens and Northern Corporation,CZNC
1902,Citrix Systems Inc,CTXS
1903,City Holding Company,CHCO
1904,City National Rochdale Socially Responsible Equity Fund Institutional Class (MM),AHSRX
1905,"Ckx, Inc. (MM)",CKXE
1906,Clarim Acquisition Corporation,CLRM
1907,Clarus Therapeutics (MM),CLRS
1908,Classic Bancshares (MM),CLAS
1909,Claymont Steel Hlds (MM),PLTE
1910,Clean Energy Fuels Corp,CLNE
1911,CleanSpark Inc,CLSK
1912,CleanTech Acquisition Corporation,CLAQU
1913,ClearPoint Neuro Inc,CLPT
1914,Clearfield Inc,CLFD
1915,Clearpoint Business Res Wrt (MM),CPBRW
1916,Clearsign Combustion Corp. - Warrant,CLIRW
1917,Clearwire Corp Rights (MM),CLWRR
1918,Clementia Pharmaceuticals Inc.,CMTA
1919,Clever Leaves Holdings Inc,CLVR
1920,Click2Learn (MM),CLKS
1921,Clifton Bancorp Inc. (MM),CSBK
1922,Closure Medical (MM),CLSR
1923,Clover Leaf Capital Corporation,CLOE
1924,Cmgi  (MM),CMGID
1925,Co Diagnostics Inc,CODX
1926,Coast Dental Services (MM),CDEN
1927,Coastal Contacts - Ordinary Shares (MM),COA
1928,Coastal Finl Corp Del (MM),CFCP
1929,Cobiz Financial Inc. (delisted),COBZ
1930,Coca Cola Europacific Partners plc,CCEP
1931,Coda Octopus Group Inc,CODA
1932,Code Rebel Corp.,CDRB
1933,Codexis Inc,CDXS
1934,Codorus Valley Bancorp Inc,CVLY
1935,Cogent Biosciences Inc,COGT
1936,"Cogint, Inc. (delisted)",COGTV
1937,Cognition Therapeutics Inc,CGTX
1938,Cognos (MM),COGN
1939,Cognyte Software Ltd,CGNTV
1940,Coherent Inc,COHR
1941,Cohesant Tech (MM),COHT
1942,Coinbase Global Inc,COIN
1943,Coley Pharmaceutical Grp. (MM),COLY
1944,Coliseum Acquisition Corporation,MITA
1945,"Collabrx, Inc. (MM)",TGAL
1946,Collectors Universe Inc,CLCT
1947,Collegium Pharmaceutical Inc,COLL
1948,Colonial Financial Services (MM),COBKD
1949,Color Kinetics Incorporated (MM),CLRK
1950,Color Star Technology Company Ltd,CSCW
1951,"Colucid Pharmaceuticals, Inc.",CLCD
1952,Columbia Banking System Inc,COLB
1953,Columbia Sportswear Company,COLM
1954,ComSovereign Holding Corporation,COMS
1955,Combimatrix Corp. (MM),CBMX
1956,"Combinatorx, Incorporated - Common (MM)",CRXX
1957,Comm Bancorp (MM),CCBP
1958,CommVault Systems Inc,CVLT
1959,Commerce Bancshares Inc,CBSH
1960,Commercehub - Series A (delisted),CHUBA
1961,Commercial Capital Bancorp,CCBI
1962,Commercial Vehicle Group Inc,CVGI
1963,Commtouch Software Ltd.  (MM),CTCHD
1964,Community Bancorp,CMBC
1965,Community Bank OF Northern Virginia - Common Stock (MM),CBNV
1966,Community Bks Millersbur (MM),CMTY
1967,Community Capital Cp (MM),CYL
1968,Community Financial Corp. (MM),CFFC
1969,Community First Bancshares Inc,CFBI
1970,Community Investors Bancorp  (MM),CIBI
1971,Community Trust Bancorp Inc,CTBI
1972,Communityone Bancorp (MM),COB
1973,Compass Therapeutics Inc,CMPX
1974,Compudyne Corp (MM),CDCY
1975,Computer Access Technology (MM),CATZ
1976,Computer Programs and Systems Inc,CPSI
1977,"Computer Task Grp., Incorporated (MM)",CTGX
1978,Comsys IT Partners (MM),CITP
1979,"Comverge, Inc. (MM)",COMV
1980,Comverse Technology - Common Stock Ex-Distribution When Issued (MM),CMVTV
1981,Conatus Pharmaceuticals Inc,CNAT
1982,Concentrix Corporation,CNXC
1983,"Conceptus, Inc. (MM)",CPTS
1984,Concord Camera  (MM),LENSD
1985,Concsnsus Cloud Solutions Inc,CCSIV
1986,Conduent Incorporated,CNDT
1987,Confluent Inc,CFLT
1988,Conifer Holdings Inc,CNFR
1989,ConnectOne Bancorp Inc,CNOB
1990,Conns Inc,CONN
1991,Conolog  (MM),CNLGD
1992,Consolidated Communications Holdings Inc,CNSL
1993,Consonus Technologies  (MM),DCTI
1994,Constellation Pharmaceuticals Inc,CNST
1995,Consumer Portfolio Services Inc,CPSS
1996,ContextLogic Inc,WISH
1997,Contrafect Corp. - Warrant,CFRXW
1998,Control4 Corporation,CTRL
1999,Conversion Labs Inc,CVLB
2000,Converted Organics Inc. (MM),COINZ
2001,"Convio, Inc. (MM)",CNVO
2002,Conyers Park III Acquisition Corporation,CPAA
2003,Cool Holdings Inc,AWSM
2004,Copart Inc,CPRT
2005,Copernic Inc. (MM),CNICD
2006,CorMedix Inc,CRMD
2007,Corautus Genetics (MM),VEGF
2008,Corbus Pharmaceuticals Holdings Inc,CRBP
2009,Cordia Bancorp Inc.,BVA
2010,Corel (MM),CREL
2011,Corgentech Inc.  (MM),CGTKD
2012,Corgi Intl Ltd Ads (MM),CRGI
2013,Corixa Corp (MM),CRXA
2014,Corner Growth Acquisition Corporation 2,TRON
2015,Cornerstone Therapeutics Inc.  (MM),CRTXD
2016,Corporate Ppty Assocs (MM),XXMBL
2017,Correvio Pharma Corporation,CORV
2018,Cortech  (MM),CRTQ
2019,Cortland Bancorp Inc,CLDB
2020,Corvus Pharmaceuticals Inc,CRVS
2021,Cost-U-Less (MM),CULS
2022,Costco Wholesale Corporation,COST
2023,Couchbase Inc,BASE
2024,CounterPath Corporation,CPAH
2025,Coupa Software Inc,COUP
2026,"Covas International, (MM)",CVAS
2027,Covenant Transportation Group Inc,CVTI
2028,Covetrus Inc,CVET
2029,Covisint Corp.,COVS
2030,Cowen Inc,COWN
2031,Cowen Inc,COWNL
2032,Cpac (MM),CPAK
2033,"Cpex Pharmaceuticals, Inc. (MM)",CPEX
2034,Cracker Barrel Old Country Store Inc,CBRL
2035,Cray Inc,CRAYD
2036,"Crayfish CO., Ltd. (MM)",CRFH
2037,Creative Host Services (MM),CHST
2038,Credence Systems (MM),CMOS
2039,Credit Suisse AG - Velocityshares Daily 2X Vix Medium Term Etn (delisted),TVIZ
2040,Credit Suisse AG - Velocityshares Vix Medium Term Etn (delisted),VIIZ
2041,Cree Inc,CREE
2042,Crescent Capital BDC Inc,CCAP
2043,Cricut Inc,CRCT
2044,Crinetics Pharmaceuticals Inc,CRNX
2045,Crocs Inc,CROX
2046,Cronos Grp. S A (MM),CRNS
2047,Cross Match Tech (MM),CROS
2048,"Crossroads Capital, Inc.",XRDC
2049,"Crosstex Energy, Inc. (MM)",XTXI
2050,Crown Crafts Inc,CRWS
2051,Crown Media Holdings - Class A (MM),CRWN
2052,Cryo Cell International Inc,CCEL
2053,Cryoport (MM),CYPT
2054,Csr Plc Spnsrd Adr When Issued (MM),CSREV
2055,Cti Molecular Imaging - Common Stock (MM),CTMI
2056,Cue Biopharma Inc,CUE
2057,Cuentas Inc,CUEN
2058,Cullman Bancorp Inc,CULL
2059,Cummer Infant Wrts (MM),SUMRW
2060,Cuno (MM),CUNO
2061,CureVac NV,CVAC
2062,Curis Inc,CRIS
2063,Cutter & Buck (MM),CBUK
2064,Cyanotech Corp,CYAN
2065,CyberOptics Corp,CYBE
2066,Cyberguard Corp (MM),CGFW
2067,"Cybex International, Inc. (MM)",CYBI
2068,Cyclerion Therapeutics Inc,CYCN
2069,Cygne Designs (MM),CYDS
2070,"Cymer, Inc. (MM)",CYMI
2071,Cynosure - Class A (MM),CYNO
2072,Cypress Semiconductor Corporation,CY
2073,CyrusOne Inc,CONE
2074,Cyteir Therapeutics Inc,CYT
2075,CytoSorbents Corporation,CTSO
2076,Cytokinetics Inc,CYTK
2077,Cytori Therapeutics Inc,CYTX
2078,Cytrx Corp. (MM),CYTR
2079,C-Cor Incorporated (MM),CCBL
2080,C2 (MM),CTOO
2081,CA Healthcare Acquisition Corporation,CAHC
2082,CAPITAL PRODUCT PARTNERS L.P.,CPLPV
2083,CASI Pharmaceuticals Inc,CASI
2084,CBAK Energy Technology Inc,CBAT
2085,"CBRE Group, Inc.",CBRE
2086,CDK Global Inc,CDK
2087,CE Franklin Ltd. (MM),CFK
2088,CENAQ Energy Corporation,CENQ
2089,CF Acquisition Corporation IV,CFIV
2090,CF Acquisition Corporation VI,CFVI
2091,CF Bankshares Inc,CFBK
2092,CF Finance Acquisition Corporation,CFFA
2093,CF Finance Acquisition Corporation III,CFAC
2094,CHF Solutions Inc,CHFS
2095,CHW Acquisition Corporation,CHWA
2096,CIIG Merger Corporation,CIIC
2097,"CIVITAS THERAPEUTICS, INC.",CVTS
2098,CM Financial Inc,CMFN
2099,CM Life Sciences II Inc,CMII
2100,CM Life Sciences Inc,CMLF
2101,CM Seven Star Acquisition Corp.,CMSSW
2102,CME Group Inc,CME
2103,CNB Financial Corporation,CCNE
2104,CONMED Corporation,CNMD
2105,CONX Corporation,CONX
2106,CPI Card Group Inc,PMTS
2107,CRA International Inc,CRAI
2108,CSG Systems International Inc,CSGS
2109,CSW Industrials Inc,CSWI
2110,CT Communications (MM),CTCI
2111,CU Bancorp (CA) (MM),CUNB
2112,CV Therapeutics (MM),CVTX
2113,CVD Equipment Corp,CVV
2114,"CYCLERION THERAPEUTICS, INC.",CYCNV
2115,Cabaletta Bio Inc,CABA
2116,"Cachet Financial Solutions, Inc.",CAFND
2117,Cadence Design Systems Inc,CDNS
2118,Cadmus Communication (MM),CDMS
2119,Caesars Entertainment Inc,CZR
2120,Cafepress Inc. (delisted),PRSS
2121,Cal Maine Foods Inc,CALM
2122,Caladrius Biosciences Inc,CLBS
2123,Calamos Focus Growth Etf (MM),CFGE
2124,Calamos Global Total Return Fund,CGO
2125,Calamos Strategic Total Return Fund,CSQ
2126,Calif Indep Bancorp (MM),CIBN
2127,California Coastal (MM),CALC
2128,"California Pizza Kitchen, Inc. (MM)",CPKI
2129,Caliper Life Sciences - Warrants 8/10/2011 (MM),CALPW
2130,"Callidus Software, Inc. (delisted)",CALD
2131,Calyxt Inc,CLXT
2132,"Cambium Learning Grp., Inc. (delisted)",ABCD
2133,Cambridge Bancorporation,CATC
2134,Camtek Ltd,CAMT
2135,Cancer Genetics Inc,CGIX
2136,Candel Therapeutics Inc,CADL
2137,Candies  (MM),CAND
2138,Canopy Growth Corporation,CGC
2139,Canterbury Park Holding Corporation New,CPHC
2140,"Cape Bancorp, Inc.",CBNJ
2141,Capital Bancorp Inc,CBNK
2142,Capital Bank Financial Corp. (MM),CBF
2143,Capital Southwest Corporation,CSWCL
2144,Capital Times Co (MM),CPIA
2145,Capitala Finance Corporation,CPTAL
2146,Capitol Acquisition Corp. Iii - Warrants (MM),CLACW
2147,Capitol Federal Financial Inc,CFFN
2148,Capstone Green Energy Corporation,CGRN
2149,Capstone Turbine Corporation,CPST
2150,CarGurus Inc,CARG
2151,CarParts com Inc,PRTS
2152,Caraustar Industries (MM),CSAR
2153,Carbonite Inc,CARB
2154,Cardconnect Corp.,CCN
2155,Cardiac Science Corp (MM),CSCX
2156,Cardinal Financial Corp.,CFNL
2157,Cardiodynamics International  (MM),CDICD
2158,Cardiol Therapeutics Inc,CRDL
2159,Cardlytics Inc,CDLX
2160,CareCloud Inc,MTBC
2161,CareMax Inc,CMAX
2162,Career Education Corp,CECO
2163,Caribou Biosciences Inc,CRBU
2164,Carlyle Group Inc,CGABL
2165,Carney Technology Acquisition Corporation II,CTAQ
2166,Carolina Financial Corporation,CARO
2167,Carolina Trust BancShares Formation of a Holding Company,CART
2168,Carrier Access Corp (MM),CACS
2169,Carrols Restaurant Group Inc,TAST
2170,Cartesian Growth Corporation,GLBL
2171,"Carver Bancorp, Inc. (MM)",CARVD
2172,Casa Systems Inc,CASA
2173,Cascade Bancorp (MM),CACBD
2174,Cascadia Acquisition Corporation,CCAI
2175,Casella Waste Systems Inc,CWST
2176,Caseys General Stores Inc,CASY
2177,Cash Systems (MM),CKNN
2178,Cassava Sciences Inc,SAVA
2179,Castlepoint Holdings Ltd (MM),CPHL
2180,Catabasis Pharmaceuticals Inc,CATB
2181,Catalyst Biosciences Inc,CBIO
2182,Catalyst Partners Acquisition Corporation,CPARU
2183,Catalyst Pharmaceuticals Inc,CPRX
2184,Catamaran Corporation (MM),SXCI
2185,Catasys Inc,CATS
2186,Cathay General Bancorp - Warrant (delisted),CATYW
2187,Cavco Industries Inc,CVCO
2188,Cazador Acquisition Corp. Ltd. - Ordinary Shares (MM),CAZA
2189,Cazador Acquisition Corp. Ltd. - Warrants (MM),CAZAW
2190,"Cbeyond, Inc. (MM)",CBEY
2191,Cboe Global Markets (MM),CBOE
2192,Ccc Information Services Grp.  Inc.  (MM),CCCG
2193,Cdc Corp. (MM),CHINA
2194,"Cdc Software Corp. ADS, Each Representing One Class A Ordinary Share (MM)",CDCS
2195,Cedar Shopping Centers (MM),CEDR
2196,Celator Pharmaceuticals Inc. (MM),CPXX
2197,Celebrate Express (MM),BDAY
2198,Celgene Corporation,CELG
2199,Cell Pathways (MM),CLPA
2200,Cellebrite Digital Intelligence Ltd,CLBT
2201,Cellectis SA,CLLS
2202,"Cellular Dynamics International, Inc.",ICEL
2203,Celsius Holdings - Warrants 02/08/2013 (MM),CELHW
2204,Celularity Inc,CELU
2205,Cemtrex Inc,CETX
2206,Centennial Communications Corp (MM),CYCL
2207,Centennial Resource Development Inc,CDEV
2208,Center Financial Corporation (MM),CLFC
2209,Centillium Communications (MM),CTLM
2210,Centra Software  (MM),CTRA
2211,Central Coast Bancorp  (MM),CCBN
2212,Central European Media Enterprises Ltd,CETV
2213,Central Freight Lines,CENF
2214,Central Garden and Pet Co,CENTA
2215,Central Valley Community Bancorp,CVCY
2216,Centric Brands (delisted),DFBG
2217,Centricus Acquisition Corporation,CENH
2218,Centrue Financial Corp.,CFCB
2219,Century BanCorp Inc,CNBKA
2220,Century Therapeutics Inc,IPSC
2221,Cepheid (MM),CPHD
2222,Ceragon Networks Ltd,CRNT
2223,Cerecor Inc. - Class A Warrants (delisted),CERCW
2224,Cerence Inc,CRNCV
2225,Ceres (MM),CERG
2226,Cerner Corporation,CERN
2227,Cerus Corp,CERS
2228,"Cesca Therapeutics, Inc. (MM)",KOOLD
2229,"Cfs Bancorp, Inc. (MM)",CITZ
2230,ChaSerg Technology Acquisition Corporation,CTAC
2231,Champions Oncology Inc,CSBR
2232,Change Healthcare Inc,CHNG
2233,Chanticleer Holdings - Unit (MM),HOTRU
2234,Chanticleer Holdings Inc,BURG
2235,Chardan 2008 China Acquisition - Warrants (MM),CACAW
2236,Charles and Colvard Ltd,CTHR
2237,Charter Communications Inc New,CHTR
2238,Chartered Semiconductor Manu (MM),CHRTR
2239,Chartered Semiconductor Manufacturing Ltd. (MM),CHRT
2240,Chavant Capital Acquisition Corporation,CLAY
2241,Check Cap Ltd,CHEKZ
2242,Checkfree Corp (MM),CKFR
2243,Checkpoint Therapeutics Inc,CKPT
2244,Chefs Warehouse Inc,CHEF
2245,Chembio Diagnostics Inc,CEMI
2246,Chemical Financial Corporation,CHFC
2247,Chemung Financial Corporation,CHMG
2248,Cherokee International Corp (MM),CHRK
2249,Chester Valley Bancorp (MM),CVAL
2250,Cheviot Financial Corp,CHEV
2251,Chiasma Inc,CHMA
2252,Chicken Soup for the Soul Entertainment Inc,CSSE
2253,Chimerix Inc,CMRX
2254,"China Agritech, Inc. (MM)",CAGC
2255,"China Architectural Engineering, (MM)",CAEI
2256,China Auto Rental Holdings Inc. ADS (MM),CARH
2257,China Bioligic Products Holdings Inc,CBPO
2258,"China Cablecom Holdings, Ltd. (MM)",CABLD
2259,"China Cablecom Holdings, Ltd. - Unit 4/4/2010 (MM)",CABUD
2260,China Ceramics Co Ltd,CCCL
2261,"China Ceramics Co., Ltd. - Warrants 11/16/2012 (MM)",CCCLW
2262,China Customer Relations Centers Inc,CCRC
2263,China Direct  (MM),CDSDD
2264,"China Fire & Security Grp., Inc. (MM)",CFSG
2265,China Gerui Advanced Materials Grp. Limited - Warrant 03/19/2011 (MM),CHOPW
2266,China Growth Equity Investment Ltd. - Units (MM),CGEIU
2267,"China Information Security Technology, Inc. (MM)",CPBY
2268,China Jo Jo Drugstores Inc,CJJD
2269,China Lending Corporation,CLDC
2270,"China Medical Technologies ADS, Each Representing 10 Ordinary Shares (MM)",CMED
2271,"China Nuokang Bio-Pharmaceutical Inc. ADS, Each Representing Eight Ordinary Shares (MM)",NKBP
2272,China Recycling Energy Corporation,CREG
2273,China SXT Pharmaceuticals Inc,SXTC
2274,"China Sky One Medical, Inc. (MM)",CSKI
2275,China Technology Development Grp. Corp. (MM),CTDC
2276,China Valves Tech (MM),CVVZ
